n,h,tr,sp,bl
12,           0.08333333333,           0.00037083460,           0.00002096441,           0.00000402326
24,           0.04166666667,           0.00009176391,           0.00000125965,           0.00000005400
48,           0.02083333333,           0.00002288231,           0.00000007822,           0.00000000054
96,           0.01041666667,           0.00000571672,           0.00000000514,           0.00000000027
192,           0.00520833333,           0.00000142874,           0.00000000058,           0.00000000028
384,           0.00260416667,           0.00000035696,           0.00000000030,           0.00000000028
768,           0.00130208333,           0.00000008903,           0.00000000028,           0.00000000028
1536,           0.00065104167,           0.00000002205,           0.00000000028,           0.00000000028
3072,           0.00032552083,           0.00000000530,           0.00000000028,           0.00000000028
6144,           0.00016276042,           0.00000000111,           0.00000000028,           0.00000000028
